question_id,question_total_runs,question_success_count,question_baseline_success_rate
1000,23,4,0.17391304347826086
1002,26,18,0.6923076923076923
1020,20,10,0.5
1025,22,10,0.45454545454545453
1028,23,4,0.17391304347826086
1060,25,2,0.08
1121,23,5,0.21739130434782608
1139,24,3,0.125
1142,25,5,0.2
1147,27,20,0.7407407407407407
1155,23,8,0.34782608695652173
1164,21,13,0.6190476190476191
120,24,19,0.7916666666666666
1201,20,1,0.05
150,21,2,0.09523809523809523
165,26,22,0.8461538461538461
167,27,26,0.9629629629629629
169,25,24,0.96
183,27,26,0.9629629629629629
195,28,27,0.9642857142857143
222,25,1,0.04
224,26,11,0.4230769230769231
226,24,20,0.8333333333333334
252,26,19,0.7307692307692307
279,22,7,0.3181818181818182
291,23,20,0.8695652173913043
348,27,25,0.9259259259259259
369,22,5,0.22727272727272727
375,24,20,0.8333333333333334
391,25,10,0.4
414,25,24,0.96
415,20,18,0.9
447,25,21,0.84
466,25,5,0.2
468,26,25,0.9615384615384616
485,22,5,0.22727272727272727
495,26,16,0.6153846153846154
52,27,26,0.9629629629629629
522,25,17,0.68
535,24,14,0.5833333333333334
542,22,12,0.5454545454545454
554,26,25,0.9615384615384616
561,26,22,0.8461538461538461
573,26,20,0.7692307692307693
605,25,13,0.52
609,22,18,0.8181818181818182
615,27,26,0.9629629629629629
622,27,7,0.25925925925925924
662,27,19,0.7037037037037037
68,24,16,0.6666666666666666
715,24,1,0.041666666666666664
716,27,23,0.8518518518518519
721,24,16,0.6666666666666666
740,25,1,0.04
790,26,1,0.038461538461538464
827,23,2,0.08695652173913043
834,25,2,0.08
839,25,19,0.76
840,23,11,0.4782608695652174
842,20,14,0.7
844,19,4,0.21052631578947367
851,26,3,0.11538461538461539
864,26,11,0.4230769230769231
876,24,5,0.20833333333333334
880,26,8,0.3076923076923077
887,25,12,0.48
92,25,2,0.08
923,24,2,0.08333333333333333
944,24,1,0.041666666666666664
946,25,19,0.76
950,26,22,0.8461538461538461
956,25,2,0.08
983,26,25,0.9615384615384616
