token,question_presence,questions_used,mean_delta,median_delta,mean_question_baseline,median_question_baseline,ci95_low,ci95_high,sign_test_p,bh_q,sign_pos,sign_neg,sign_n_nonzero,avg_question_trace_len,length_control_residual
compute,69,36,0.2723763536753733,0.22792207792207797,0.4445606104374856,0.4230769230769231,0.13216748483905347,0.4088644842811509,0.00031255115754902363,0.004063165048137307,29,7,36,336.86791266558487,0.2014117466877013
conclude,71,59,0.2421777678314247,0.2,0.46276968559286363,0.45454545454545453,0.1449769665728825,0.3418868952005412,0.0037937056353716074,0.0164393910866103,41,18,59,252.30332860928127,0.1351906777598583
derive-intermediate,45,42,0.1473655447761028,0.1111111111111111,0.43168063892810543,0.38545150501672243,0.08123214804956722,0.22096337182678352,0.002887247974285856,0.0164393910866103,31,11,42,260.766842173905,0.04398370834131868
instantiate,65,38,0.1303303327435994,0.0735930735930736,0.44339236088091927,0.4388111888111888,0.02906960429418647,0.23962986295757582,0.04703102743951604,0.1222806713427417,25,12,37,205.5782348370335,0.0034394742234881426
apply-formula,66,42,0.12427961293048405,0.09623015873015872,0.5190866961788831,0.5822510822510822,0.0028785114439788253,0.24661098399450032,0.16414940178310644,0.3048488890257691,26,16,42,238.12757122343842,0.011253990459906216
simplify,42,39,0.1022622502544482,0.0625,0.4521787314608414,0.4230769230769231,0.014645754367737865,0.19406020482032368,0.19959086691960692,0.32433515874436125,24,15,39,244.33044204267463,-0.008121098128803086
compare,14,14,0.0998449842456919,-0.041666666666666664,0.2879651012602958,0.21395881006864986,-0.07850009541296583,0.29455133568578945,0.79052734375,0.79052734375,6,8,14,330.46574865637797,0.026153209055212637
rewrite,62,42,0.09981650872375927,0.08733790999237223,0.4619612520348055,0.4672727272727273,0.0011918894392020935,0.20081505604042765,0.007915897334896727,0.02572666633841436,30,12,42,268.5666414554072,-0.0002428004283433205
case-split,17,16,0.08307177911957324,0.06984126984126983,0.3377564419276376,0.2674825174825175,-0.08694378645520287,0.2548817593225488,0.454498291015625,0.5371343439275568,10,6,16,358.1466756612952,0.02117141443396027
check-constraint,46,44,-0.019194036816269702,-0.017259056732740946,0.46798688739894273,0.5327272727272727,-0.08566807688128159,0.04171134623183719,0.7607916425613439,0.79052734375,20,23,43,244.72787801625262,-0.12940808701405826
compute极,23,23,-0.027130453590009852,-0.07500000000000001,0.30219696315358435,0.21052631578947367,-0.16090036126002696,0.11477916234706606,0.4048728942871094,0.5371343439275568,9,14,23,582.7390138092929,0.00664012709699232
backtrack,14,14,-0.06918214175622402,-0.06840463458110517,0.31436459203866857,0.2625418060200669,-0.198043837949853,0.08122098919312544,0.09228515625,0.199951171875,3,10,13,420.18765598817663,-0.10465453793382277
analyze,64,16,-0.11432001874936658,-0.040000000000000036,0.4960650354021349,0.48426573426573427,-0.285978039170974,0.0470018115942029,0.454498291015625,0.5371343439275568,6,10,16,286.31764945726263,-0.2068178245534107
