token,num_sections,keywords
Q50_T01_divided_remainder_use,10,"divided, remainder, use, can, find, 12x"
Q50_T02_step_polynomial_remainder,10,"step, polynomial, remainder, form, understand, divided, divisor, where"
Q50_T03_positive_terms_negative,5,"positive, terms, negative, grouping, evaluate, calculate, substituting, step"
Q50_T04_step_system_solve,5,"step, system, solve, equations, have, equation, add, implies"
Q50_T05_roots_implies_divisor,4,"roots, implies, divisor, since, cdot, step, have, substitute"
Q50_T06_roots_step_divisor,2,"roots, step, divisor, substituting, implies, use, these, utilize"
Q50_T07_correct_system_12x,2,"correct, system, 12x, sum, frac, equations, remainder, equation"
Q50_T08_roots_implies_divisor,2,"roots, implies, divisor, equation, cdot, these, step"
Q50_T09_rightarrow_13x_correct,1,"rightarrow, 13x, correct, remainder, powers, 12x"
Q50_T10_roots_text_term,1,"roots, text, term, divisor, terms, equation"
Q50_T11_step_remainder_answer,1,"step, remainder, answer, formulate, final, substituting"
Q50_T12_correct_13x_coefficients,1,"correct, 13x, coefficients, step, 12x, sum"
Q50_T13_step_polynomial_substitute,1,"step, polynomial, substitute, since, original, calculate"
Q50_T14_even_step_terms,1,"even, step, terms, 12x, odd, calculate"
Q50_T15_correct_step_remainder,1,"correct, step, remainder, frac, construct, final"
Q50_T16_13x_constant_implies,1,"13x, constant, implies, terms, cdot, equiv"
Q50_T17_roots_step_positive,1,"roots, step, positive, equation, negative, substituting"
Q50_T18_positive_calculate_group,1,"positive, calculate, group, negative, summing, evaluate"
Q50_T19_even_grouping_terms,1,"even, grouping, terms, sum, odd, pmod"
Q50_T20_since_remainder_terms,1,"since, remainder, terms, system, sum, equations"
Q50_T21_terms_positives_negatives,1,"terms, positives, negatives, value, grouping, calculate"
Q50_T22_constant_13x_remainder,1,"constant, 13x, remainder, term, dots, coeff"
